Player,FGA 2015,FGA 2016,FGA 2017,FGA 2018,FGA 2019,FGA 2020,FG% 2015,FG% 2016,FG% 2017,FG% 2018,FG% 2019,FG% 2020,3P 2015,3P 2016,3P 2017,3P 2018,3P 2019,3P 2020,3PA 2015,3PA 2016,3PA 2017,3PA 2018,3PA 2019,3PA 2020,3P% 2015,3P% 2016,3P% 2017,3P% 2018,3P% 2019,3P% 2020,FTM 2015,FTM 2016,FTM 2017,FTM 2018,FTM 2019,FTM 2020,FTA 2015,FTA 2016,FTA 2017,FTA 2018,FTA 2019,FTA 2020,FT% 2015,FT% 2016,FT% 2017,FT% 2018,FT% 2019,FT% 2020,ORB 2015,ORB 2016,ORB 2017,ORB 2018,ORB 2019,ORB 2020,DRB 2015,DRB 2016,DRB 2017,DRB 2018,DRB 2019,DRB 2020,TRB 2015,TRB 2016,TRB 2017,TRB 2018,TRB 2019,TRB 2020,AST 2015,AST 2016,AST 2017,AST 2018,AST 2019,AST 2020,STL 2015,STL 2016,STL 2017,STL 2018,STL 2019,STL 2020,BLK 2015,BLK 2016,BLK 2017,BLK 2018,BLK 2019,BLK 2020,TOV 2015,TOV 2016,TOV 2017,TOV 2018,TOV 2019,TOV 2020,PF 2015,PF 2016,PF 2017,PF 2018,PF 2019,PF 2020,PTS 2015,PTS 2016,PTS 2017,PTS 2018,PTS 2019,PTS 2020,+/- 2015,+/- 2016,+/- 2017,+/- 2018,+/- 2019,-2020,TS% 2015,TS% 2016,TS% 2017,TS% 2018,TS% 2019,TS% 2020,eFG% 2015,eFG% 2016,eFG% 2017,eFG% 2018,eFG% 2019,eFG% 2020,3PAr 2015,3PAr 2016,3PAr 2017,3PAr 2018,3PAr 2019,3PAr 2020,ORtg 2015,ORtg 2016,ORtg 2017,ORtg 2018,ORtg 2019,ORtg 2020,DRtg 2015,DRtg 2016,DRtg 2017,DRtg 2018,DRtg 2019,DRtg 2020,PG% 2015,PG% 2016,PG% 2017,PG% 2018,PG% 2019,PG% 2020,SG% 2015,SG% 2016,SG% 2017,SG% 2018,SG% 2019,SG% 2020,SF% 2015,SF% 2016,SF% 2017,SF% 2018,SF% 2019,SF% 2020,PF% 2015,PF% 2016,PF% 2017,PF% 2018,PF% 2019,PF% 2020,C% 2015,C% 2016,C% 2017,C% 2018,C% 2019,C% 2020,Sum Seasons
A.J. Hammons,,,1.909090909,,,,,,0.386866667,,,,,,0.227272727,,,,,,0.454545455,,,,,,0.547571429,,,,,,0.409090909,,,,,,0.909090909,,,,,,0.416666667,,,,,,0.363636364,,,,,,1.272727273,,,,,,1.636363636,,,,,,0.181818182,,,,,,0.045454545,,,,,,0.590909091,,,,,,0.454545455,,,,,,0.954545455,,,,,,2.181818182,,,,,,-0.227272727,,,,,,0.460375,,,,,,0.460133333,,,,,,0.217333333,,,,,,67.95454545,,,,,,113.7272727,,,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2
A.J. Price,5.269230769,,,,,,0.302954545,,,,,,0.576923077,,,,,,2.192307692,,,,,,0.1833,,,,,,0.615384615,,,,,,0.923076923,,,,,,0.661571429,,,,,,0.230769231,,,,,,1,,,,,,1.230769231,,,,,,1.769230769,,,,,,0.269230769,,,,,,0,,,,,,0.538461538,,,,,,0.576923077,,,,,,5.115384615,,,,,,-2.461538462,,,,,,0.359545455,,,,,,0.343227273,,,,,,0.427136364,,,,,,73.76923077,,,,,,111.6153846,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Aaron Brooks,9.963414634,6.797101449,4.615384615,2.15625,,,0.416585366,0.376176471,0.344951613,0.443565217,,,1.475609756,0.956521739,0.738461538,0.34375,,,3.817073171,2.68115942,1.969230769,0.96875,,,0.368632911,0.320338462,0.328685185,0.392117647,,,1.768292683,0.710144928,0.492307692,0.25,,,2.12195122,0.927536232,0.615384615,0.34375,,,0.857351852,0.763208333,0.8,0.7334,,,0.390243902,0.304347826,0.276923077,0.21875,,,1.634146341,1.15942029,0.784615385,0.3125,,,2.024390244,1.463768116,1.061538462,0.53125,,,3.182926829,2.608695652,1.923076923,0.625,,,0.658536585,0.434782609,0.384615385,0.1875,,,0.182926829,0.144927536,0.138461538,0,,,1.914634146,1.188405797,1.015384615,0.34375,,,2.304878049,1.913043478,1.430769231,0.875,,,11.63414634,7.115942029,4.953846154,2.34375,,,2.56097561,-0.188405797,-0.492307692,-2.34375,,,0.523926829,0.465573529,0.440870968,0.526875,,,0.486073171,0.442397059,0.415774194,0.508826087,,,0.371231707,0.404073529,0.448419355,0.429086957,,,102.0609756,93.91304348,87.2,82.5625,,,107.9634146,110.6811594,113.4615385,112.875,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Aaron Gordon,4.425531915,7.423076923,10.8125,14.9137931,13.41025641,12.37096774,0.468043478,0.454428571,0.4393,0.434344828,0.448051282,0.424435484,0.276595745,0.538461538,0.9625,1.982758621,1.551282051,1.177419355,1.021276596,1.820512821,3.3375,5.896551724,4.448717949,3.822580645,0.23562069,0.291625,0.26812987,0.346810345,0.330935065,0.272096774,0.936170213,1.653846154,1.95,2.706896552,2.371794872,2.435483871,1.29787234,2.474358974,2.7125,3.879310345,3.243589744,3.612903226,0.708961538,0.652365385,0.710338983,0.685208333,0.752409836,0.694888889,0.978723404,1.974358974,1.45,1.5,1.653846154,1.725806452,2.617021277,4.525641026,3.6125,6.379310345,5.705128205,5.935483871,3.595744681,6.5,5.0625,7.879310345,7.358974359,7.661290323,0.70212766,1.641025641,1.875,2.344827586,3.705128205,3.677419355,0.446808511,0.756410256,0.8125,1.017241379,0.730769231,0.822580645,0.468085106,0.705128205,0.5,0.775862069,0.717948718,0.629032258,0.808510638,0.846153846,1.1125,1.844827586,2.076923077,1.612903226,1.765957447,1.961538462,2.15,1.913793103,2.205128205,2.016129032,5.170212766,9.217948718,12.7375,17.62068966,15.97435897,14.41935484,-3.489361702,-0.935897436,-2.0125,-1.568965517,1.371794872,-1.096774194,0.504978261,0.524358974,0.5121875,0.531862069,0.534012821,0.503806452,0.501347826,0.491506494,0.4797625,0.503862069,0.504730769,0.468532258,0.251456522,0.26312987,0.3157,0.399465517,0.330423077,0.314387097,97.23404255,111.0512821,104.075,103.7413793,105.1923077,105.8064516,107.7446809,105.8717949,112.225,108.2586207,109.0128205,110.4032258,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,6
Aaron Harrison,,0.904761905,0.8,7.666666667,,,,0.305583333,0,0.255,,,,0.142857143,0,1,,,,0.476190476,0.4,4.777777778,,,,0.375,0,0.156444444,,,,0.238095238,0.2,1.444444444,,,,0.571428571,0.4,1.888888889,,,,0.375,0.5,0.8168,,,,0.19047619,0,0.444444444,,,,0.523809524,0.6,2.222222222,,,,0.714285714,0.6,2.666666667,,,,0.095238095,0.6,1.222222222,,,,0.285714286,0,1,,,,0,0,0.222222222,,,,0.19047619,0,0.333333333,,,,0.476190476,0.4,3,,,,0.857142857,0.2,6.666666667,,,,-0.333333333,-1,-8,,,,0.391,0.0665,0.358111111,,,,0.40275,0,0.307888889,,,,0.5555,0.5,0.637,,,,53.95238095,71.8,80.44444444,,,,102,113.4,111.2222222,,,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Aaron Holiday,,,,,5.24,8.53030303,,,,,0.406854167,0.402712121,,,,,0.86,1.318181818,,,,,2.54,3.348484848,,,,,0.337295455,0.363109375,,,,,0.82,1.121212121,,,,,1,1.318181818,,,,,0.824529412,0.811482759,,,,,0.1,0.333333333,,,,,1.24,2.03030303,,,,,1.34,2.363636364,,,,,1.74,3.409090909,,,,,0.42,0.833333333,,,,,0.26,0.242424242,,,,,0.8,1.333333333,,,,,1.42,1.818181818,,,,,5.88,9.5,,,,,2.04,1.696969697,,,,,0.523729167,0.505409091,,,,,0.499041667,0.480712121,,,,,0.508458333,0.399878788,,,,,96.6,99,,,,,109.46,111.030303,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Aaron Jackson,,,,9,,,,,,0.333,,,,,,1,,,,,,4,,,,,,0.25,,,,,,1,,,,,,2,,,,,,0.5,,,,,,2,,,,,,1,,,,,,3,,,,,,1,,,,,,0,,,,,,0,,,,,,1,,,,,,4,,,,,,8,,,,,,-10,,,,,,0.405,,,,,,0.389,,,,,,0.444,,,,,,87,,,,,,109,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Abdel Nader,,,,3.104166667,3.524590164,4.781818182,,,,0.306973684,0.419113208,0.452240741,,,,0.479166667,0.524590164,0.872727273,,,,1.354166667,1.639344262,2.327272727,,,,0.354586207,0.326288889,0.361745098,,,,0.479166667,0.442622951,0.927272727,,,,0.8125,0.590163934,1.2,,,,0.547642857,0.666722222,0.754851852,,,,0.270833333,0.229508197,0.254545455,,,,1.208333333,1.672131148,1.563636364,,,,1.479166667,1.901639344,1.818181818,,,,0.541666667,0.327868852,0.690909091,,,,0.3125,0.327868852,0.418181818,,,,0.208333333,0.196721311,0.363636364,,,,0.708333333,0.426229508,0.781818182,,,,0.9375,1.114754098,1.418181818,,,,3.041666667,3.950819672,6.272727273,,,,-2.270833333,-2.557377049,-1.527272727,,,,0.440775,0.500018868,0.589222222,,,,0.382052632,0.494113208,0.544648148,,,,0.446736842,0.471150943,0.5255,,,,74.45833333,82.75409836,106.2545455,,,,105.2916667,107.7540984,112,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
Adam Mokoka,,,,,,2.545454545,,,,,,0.3567,,,,,,0.545454545,,,,,,1.363636364,,,,,,0.428571429,,,,,,0.181818182,,,,,,0.363636364,,,,,,0.5,,,,,,0.636363636,,,,,,0.272727273,,,,,,0.909090909,,,,,,0.363636364,,,,,,0.363636364,,,,,,0,,,,,,0.181818182,,,,,,1.545454545,,,,,,2.909090909,,,,,,4.545454545,,,,,,0.4521,,,,,,0.465,,,,,,0.5434,,,,,,102.8181818,,,,,,121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Admiral Schofield,,,,,,2.787878788,,,,,,0.316181818,,,,,,0.575757576,,,,,,1.848484848,,,,,,0.318136364,,,,,,0.303030303,,,,,,0.454545455,,,,,,0.625,,,,,,0.212121212,,,,,,1.212121212,,,,,,1.424242424,,,,,,0.454545455,,,,,,0.242424242,,,,,,0.121212121,,,,,,0.212121212,,,,,,1.515151515,,,,,,3,,,,,,-1.78125,,,,,,0.435863636,,,,,,0.421863636,,,,,,0.740318182,,,,,,60.45454545,,,,,,116.8787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
